Category,Product Name,Directory
Cloud Hosting,Cloud Servers,cloud-servers
Cloud Hosting,Cloud Files,cloud-files
Cloud Hosting,Cloud Sites,cloud-sites
Cloud Hosting,Cloud Load Balancers,cloud-load-balancers
Cloud Hosting,Cloud Backup,cloud-backup
Cloud Hosting,Cloud Databases,cloud-databases
Cloud Hosting,Cloud Images,cloud-images
Cloud Hosting,Cloud Block Storage,cloud-block-storage
Cloud Hosting,Cloud Monitoring,cloud-monitoring
Cloud Hosting,Cloud Big Data,cloud-big-data
Cloud Hosting,Cloud Orchestration,cloud-orchestration
Cloud Hosting,Cloud Queues,cloud-queues
Cloud Hosting,Cloud Networks,cloud-networks
Cloud Hosting,Cloud DNS,cloud-dns
Cloud Hosting,Rackspace Auto Scale,auto-scale
Cloud Hosting,Rackspace RackConnect,rack-connect
Cloud Hosting,Managed VMWare Services,managed-vmware-services
Cloud Hosting,Rackspace CDN,rackspace-cdn
Cloud Hosting,Rackspace Intelligence,rackspace-intelligence
Cloud Hosting,Cloud Identity,cloud-identity
Cloud Office,Rackspace Email,rackspace-email
Cloud Office,Microsoft Skype for Business,microsoft-skype-for-business
Cloud Office,Microsoft Exchange,exchange
Cloud Office,Microsoft Sharepoint,sharepoint
Cloud Office,Cloud Office,cloud-office
Cloud Office,Email Archiving,email-archiving
Cloud Hosting,Managed Operations,managed-operations
Cloud Hosting,Cloud Hosting,cloud-hosting
Cloud Hosting,Dedicated,dedicated
Rackspace Private Cloud,Rackspace Private Cloud Powered by Microsoft Cloud Platform,rackspace-private-cloud-microsoft-cloud-platform
Rackspace Private Cloud,Rackspace Private Cloud Powered by OpenStack,rackspace-private-cloud-openstack

